series,network,Type,# Eps,Air Day,National Time,daypart,Run_time (min),Unique HHs,Total Hrs Viewed,Avg % Viewed
series302,network4,Broadcast,4,W,10:00 PM,prime,60,"1,984,675",1050635.738,49.27%
series1393,network13,Broadcast,24,M T W R F S,6:30 PM,earlyfringe,30,"1,976,579",663395.3356,69.10%
series319,network13,Broadcast,4,U,7:00 PM,primeaccess,60,"1,926,748",866470.4997,42.78%
series515,network5,Broadcast,4,R,9:00 PM,prime,61.25,"1,917,350",918424.4869,44.28%
series660,network26,Cable,24,M T W R F S,9:00 PM,prime,30,"1,908,451",571328.9744,58.16%
series266,network36,Cable,25,M T W R F S U,2:00 PM,daytime,60,"1,880,395",788325,41.00%
series1393,network5,Broadcast,24,M T W R F S,6:30 PM,earlyfringe,30,"1,866,039",666783.2242,67.76%
series266,network36,Cable,24,M T W R F U,4:00 PM,earlyfringe,60,"1,865,975",745637.2869,39.13%
series1416,network5,Broadcast,4,R,8:00 PM,prime,60,"1,856,309",804701.8792,41.29%
series837,network22,Cable,10,W R S U,9:00 PM,prime,60,"1,854,673",960346.2164,48.97%
series1062,network11,Cable,24,M T W R F S,9:00 AM,daytime,60,"1,849,592",796848,42.00%
series677,network1,Cable,20,M T W R F,5:00 PM,earlyfringe,60,"1,839,809",939003.8881,49.07%
series56,network5,Broadcast,13,M T W R,2:00 AM,overnight,114,"1,809,340",1349572.117,37.95%
series981,network13,Broadcast,3,S,11:29 PM,latefringe,91,"1,805,781",1118420.834,37.82%
series573,network6,Cable,24,M T W R F U,7:00 PM,primeaccess,30,"1,787,450",483175.5347,53.11%
series632,network5,Broadcast,24,M T W R F S,7:00 PM,primeaccess,30,"1,780,035",577646.8717,64.86%
series363,network32,Cable,17,M T W R F,9:30 AM,daytime,30,"1,753,721",671279,74.00%
series677,network1,Cable,20,M T W R F,4:00 PM,earlyfringe,60,"1,753,489",854040.4675,46.99%
series240,network4,Broadcast,4,U,9:00 AM,daytime,90,"1,752,474",1123170,39.00%
series1062,network11,Cable,24,T W R F S U,7:00 AM,earlymorning,60,"1,751,602",675751.0556,37.53%
series1059,network32,Cable,8,S U,9:30 AM,daytime,30,"1,744,134",618668,68.00%
series1377,network32,Cable,10,M T W R F S U,5:30 PM,earlyfringe,30,"1,737,817",574320.7,62.99%
series837,network22,Cable,10,W R S U,10:00 PM,prime,60,"1,735,645",944820.2069,51.32%
series760,network11,Cable,4,R U,8:00 PM,prime,180,"1,721,472",1361413.671,23.56%
series238,network4,Broadcast,20,M T W R U,5:00 AM,overnight,30,"1,709,393",530799.2556,59.88%
series1393,network5,Broadcast,24,M T W R F S,7:30 PM,primeaccess,30,"1,706,348",573122.2344,64.42%
series1059,network32,Cable,8,S U,9:00 AM,daytime,30,"1,692,706",570436,64.00%
series1377,network32,Cable,10,M T W R F S U,5:00 PM,earlyfringe,30,"1,686,146",548327.8267,62.11%
series201,network18,Broadcast,3,W,9:30 PM,prime,30,"1,684,748",437344.5611,48.88%
series78,network5,Broadcast,20,M T W R U,5:00 AM,overnight,30,"1,664,272",539188.6897,62.65%
