series,network,Type,# Eps,Air Day,National Time,daypart,Run_time (min),Unique HHs,Total Hrs Viewed,Avg % Viewed,AirDay_Num,APV_linear,index_linear,APV_logarithm,Index_Logarith,APV_Daypart,Index_Daypart,APV_network,Index_network,Engagement index
series573,network6,Cable,12,RFS,0.979166667,latefringe,30,1176483,361527.6519,59.91,3,59.08,1.014048747,60.69784918,0.987020147,51.59,1.161271564,60.5,0.990247934,1.046179882
series1393,network5,Broadcast,24,MTWRFS,0.791666667,primeaccess,30,1172239,402274.1303,65.77,6,59.08,1.11323629,60.69784918,1.08356393,43.7,1.505034325,47.37,1.388431497,1.325676584
series270,network26,Cable,14,MTWRF,0.75,earlyfringe,30,1171831,373637.8017,61.5,5,59.08,1.040961408,60.69784918,1.013215473,46.72,1.31635274,64.14,0.958840037,1.096136084
series925,network5,Broadcast,3,F,0.875,prime,60.66666667,1167518,486272.7533,39.21,1,49.9536,0.784928414,45.31818634,0.865215561,45,0.871333333,47.37,0.827739075,0.854762656
series474,network32,Cable,20,MTWRF,0.25,earlymorning,30,1147189,382264.8225,64.9,5,59.08,1.098510494,60.69784918,1.069230638,42.33,1.53319159,64.58,1.004955094,1.202459107
series824,network1,Cable,3,TR,0.833333333,prime,150,1146816,778404.2275,24.3,2,23.368,1.039883602,25.54772518,0.951161007,45,0.54,39.25,0.61910828,0.703423096
series416,network26,Cable,19,MTWRF,0.104166667,overnight,30,1132009,413645.0081,71.45,5,59.08,1.209377116,60.69784918,1.177142205,61.93,1.153721944,64.14,1.113969442,1.148277864
series630,network5,Broadcast,2,T,0.833333333,prime,60,1129545,412235.39,34.69,1,50.152,0.69169724,45.55951476,0.76142163,45,0.770888889,47.37,0.732320034,0.754876851
series196,network1,Cable,10,MTWRF,0.833333333,prime,60,1124928,556051.2781,47.21,5,50.152,0.941338331,45.55951476,1.036227015,45,1.049111111,39.25,1.202802548,1.096046891
series1066,network66,Cable,19,MTWRF,0.25,earlymorning,180,1124356,562394.0511,15.62,5,14.44,1.081717452,21.56582238,0.724294197,42.33,0.369005433,15.62,1,0.697766543
series401,network5,Broadcast,2,U,0.833333333,prime,60,1123737,556689.3,46.71,1,50.152,0.931368639,45.55951476,1.025252359,45,1.038,47.37,0.986067131,1.01643983
